NOM_LOGIQUE;LIBELLE;libelle long eq;NOM_STATION;libelle long station;MNEMONIQUE;Libelle (type eq.)
INGP-IMAG-00000000000004492136025-00-0J-IN-QX002;MIV_116;MIV_116 - Vincennes;R-VINCENNES;RER A - Vincennes;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004493136025-00-0J-IN-QX002;MIV_117;MIV_117 - Vincennes;R-VINCENNES;RER A - Vincennes;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004494136025-00-0J-IN-QX002;MIV_118;MIV_118 - Vincennes;R-VINCENNES;RER A - Vincennes;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004495136025-00-0J-IN-QX002;MIV_119;MIV_119 - Vincennes;R-VINCENNES;RER A - Vincennes;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004496136025-00-0J-IN-QX001;MIV_120;MIV_120 - Vincennes;R-VINCENNES;RER A - Vincennes;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004497136025-00-0J-IN-QX001;MIV_121;MIV_121 - Vincennes;R-VINCENNES;RER A - Vincennes;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004498136025-00-0J-IN-QX001;MIV_122;MIV_122 - Vincennes;R-VINCENNES;RER A - Vincennes;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004499136025-00-0J-IN-QX001;MIV_123;MIV_123 - Vincennes;R-VINCENNES;RER A - Vincennes;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004500136025-00-0J-IN-QX001;MIV_124;MIV_124 - Vincennes;R-VINCENNES;RER A - Vincennes;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004501136025-00-0J-IN-QX001;MIV_125;MIV_125 - Vincennes;R-VINCENNES;RER A - Vincennes;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004502136025-00-0J-IN-QX001;MIV_126;MIV_126 - Vincennes;R-VINCENNES;RER A - Vincennes;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004503136025-00-0J-IN-QX001;MIV_127;MIV_127 - Vincennes;R-VINCENNES;RER A - Vincennes;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004504107035-00-0G-IN-CR201;MIV_201;MIV_201 - Crimée;M-CRIMEE;Ligne 7 - Crimée;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004505107035-00-0G-IN-CR205;MIV_202;MIV_202 - Crimée;M-CRIMEE;Ligne 7 - Crimée;IMAGE_V4;Afficheur IMAGE V4
